xmin=-15,xmax=15
ymin=-22.5,ymax=22.5
zmin=-12.5,zmax=12.5
7.809999, -22.22, -12.147
7.92, -22.22, -12.195
8.030001, -22.22, -12.245
8.139999, -22.22, -12.31
8.25, -22.22, -12.377
8.360001, -22.22, -12.403
8.469999, -22.22, -12.479
-9.9, -22.11, -3.839
-9.79, -22.11, -3.866
-9.68, -22.11, -3.911
-9.57, -22.11, -3.974
-9.459999, -22.11, -4.041
-9.35, -22.11, -4.043
-9.24, -22.11, -4.093
-9.129999, -22.11, -4.156
-9.02, -22.11, -4.211
-8.91, -22.11, -4.246
-8.799999, -22.11, -4.301
-8.69, -22.11, -4.373
-8.58, -22.11, -4.408
-8.469999, -22.11, -4.45
-8.36, -22.11, -4.504
-8.25, -22.11, -4.545
-8.139999, -22.11, -4.596
-8.03, -22.11, -4.618
-7.92, -22.11, -4.686
-7.81, -22.11, -4.734
-7.7, -22.11, -4.775
-7.59, -22.11, -4.835
-7.48, -22.11, -4.884
-7.37, -22.11, -4.924
-7.26, -22.11, -4.983
-7.15, -22.11, -5.02
-7.04, -22.11, -5.063
-6.929999, -22.11, -5.107
-6.82, -22.11, -5.146
-6.71, -22.11, -5.223
-6.599999, -22.11, -5.273
-6.49, -22.11, -5.32
-6.38, -22.11, -5.362
-6.27, -22.11, -5.416
-6.16, -22.11, -5.444
-6.05, -22.11, -5.515
-5.94, -22.11, -5.571
-5.83, -22.11, -5.614
-5.719999, -22.11, -5.638
-5.61, -22.11, -5.687
-5.5, -22.11, -5.743001
-5.389999, -22.11, -5.795
-5.28, -22.11, -5.856
-5.17, -22.11, -5.91
-5.059999, -22.11, -5.952
-4.95, -22.11, -6.019
-4.84, -22.11, -6.063
-4.73, -22.11, -6.088
-4.62, -22.11, -6.141
-4.51, -22.11, -6.201
-4.4, -22.11, -6.273
-4.29, -22.11, -6.299
-4.179999, -22.11, -6.346
-4.07, -22.11, -6.39
-3.96, -22.11, -6.463
-3.849999, -22.11, -6.498
-3.74, -22.11, -6.546
-3.63, -22.11, -6.615
-3.52, -22.11, -6.671
-3.41, -22.11, -6.694
-1.21, -22.11, -7.684
-1.099999, -22.11, -7.761
-0.9899998, -22.11, -7.81
-0.8800001, -22.11, -7.860001
-0.7699995, -22.11, -7.917
-0.6599998, -22.11, -7.981
-0.5500002, -22.11, -8.025001
-0.4399996, -22.11, -8.073
-0.3299999, -22.11, -8.127001
-0.2199993, -22.11, -8.181001
-0.1099997, -22.11, -8.229
0, -22.11, -8.274
0.1100006, -22.11, -8.33
0.2200003, -22.11, -8.385
0.3299999, -22.11, -8.428
0.4400005, -22.11, -8.483001
0.5500002, -22.11, -8.543
0.6599998, -22.11, -8.59
0.7700005, -22.11, -8.653001
0.8800001, -22.11, -8.711
0.9899998, -22.11, -8.758
1.1, -22.11, -8.814
1.210001, -22.11, -8.876
1.32, -22.11, -8.925
1.43, -22.11, -8.985001
1.540001, -22.11, -9.042001
1.65, -22.11, -9.096001
1.76, -22.11, -9.149
1.870001, -22.11, -9.197001
1.98, -22.11, -9.251
2.09, -22.11, -9.317
2.200001, -22.11, -9.365001
2.309999, -22.11, -9.427
2.42, -22.11, -9.482
2.530001, -22.11, -9.534
2.639999, -22.11, -9.578
2.75, -22.11, -9.644
2.860001, -22.11, -9.695001
2.969999, -22.11, -9.752001
3.08, -22.11, -9.811001
3.190001, -22.11, -9.868
3.300001, -22.11, -9.914001
3.41, -22.11, -9.953
3.52, -22.11, -10.008
3.630001, -22.11, -10.068
3.74, -22.11, -10.126
3.85, -22.11, -10.189
3.960001, -22.11, -10.239
4.07, -22.11, -10.292
4.18, -22.11, -10.347
4.290001, -22.11, -10.403
4.4, -22.11, -10.448
4.51, -22.11, -10.501
4.620001, -22.11, -10.558
4.73, -22.11, -10.608
4.84, -22.11, -10.665
4.950001, -22.11, -10.72
